file,folder,time_s,channel,members,n_channels,score,polarity,prominence,l1_sharpness
S01_009_EEG_01.edf,,685.132,P4,T8@685.060:35.3;C3@685.092:32.7;C4@685.092:47.6;F7@685.092:31.9;T7@685.092:33.5;P7@685.096:31.9;O1@685.124:38.5;P3@685.124:23.3;P4@685.132:48.2,9,0.092923,1,13.7355,8.8893
S01_009_EEG_01.edf,,685.292,P4,F8@685.232:32.4;CZ@685.252:27.4;FP2@685.264:30.9;O2@685.264:29.8;PZ@685.288:29.2;P4@685.292:35.9;F7@685.296:33.0;P8@685.296:30.7;C4@685.320:19.2;P7@685.328:31.3;F4@685.348:20.3,11,0.007448,1,13.7355,9.8928
S01_009_EEG_01.edf,,685.408,P3,P3@685.408:37.4;T8@685.408:25.0;CZ@685.448:21.3,3,0.147692,1,11.4122,6.1804
S01_009_EEG_01.edf,,685.488,P8,C3@685.484:41.5;C4@685.484:27.6;P8@685.488:43.6,3,0.047902,1,10.6662,9.6437
S01_009_EEG_01.edf,,685.62,P3,P3@685.620:39.3;F8@685.624:24.2;T8@685.656:23.6,3,0.147692,1,11.4122,9.1485
S01_009_EEG_01.edf,,685.724,C4,P4@685.720:40.4;C4@685.724:42.5;F3@685.728:25.0;P8@685.732:33.1,4,0.288529,1,11.8032,11.2616
S01_009_EEG_01.edf,,685.824,PZ,O2@685.796:26.9;F7@685.800:26.4;T8@685.820:26.7;PZ@685.824:27.7,4,0.012944,-1,7.7739,6.8502
S01_009_EEG_01.edf,,685.892,P4,P3@685.880:29.6;P4@685.892:40.4,2,0.077751,1,13.6508,8.4405
S01_009_EEG_01.edf,,685.948,FP1,FP1@685.948:26.7;F7@685.976:25.8,2,0.024165,1,17.358,6.4555
S01_009_EEG_01.edf,,686.044,O1,T7@686.000:20.1;C4@686.036:38.3;O1@686.044:41.9;P3@686.044:30.3;F4@686.048:26.5;PZ@686.048:22.4;F3@686.056:20.7;O2@686.056:33.2;P4@686.060:33.7;P7@686.072:29.8;FZ@686.080:27.4;CZ@686.088:23.4,12,0.013212,1,16.7227,8.7612
S01_009_EEG_01.edf,,686.144,P8,P8@686.144:33.4;C3@686.148:17.2;T8@686.148:30.1,3,0.015995,-1,12.6985,7.6957
S01_009_EEG_01.edf,,686.28,F3,FP2@686.240:27.4;F3@686.280:32.0;FP1@686.284:30.1;P4@686.284:24.9;FZ@686.292:30.9;CZ@686.296:21.1;F4@686.296:24.9,7,0.162069,-1,10.4475,9.8672
S01_009_EEG_01.edf,,686.384,O1,C3@686.340:14.9;P8@686.360:30.3;C4@686.384:22.6;O1@686.384:41.2;P7@686.388:29.8,5,0.003104,1,18.2953,8.4412
S01_009_EEG_01.edf,,686.584,F8,PZ@686.528:30.8;F7@686.532:27.6;P4@686.532:35.2;T7@686.532:30.5;C4@686.552:22.6;P7@686.552:28.7;C3@686.556:26.5;P3@686.560:31.1;F4@686.580:21.5;FP2@686.580:26.3;F8@686.584:48.7;O1@686.584:48.0;P8@686.612:25.9;FP1@686.616:34.6;FZ@686.616:23.9;O2@686.616:43.6;F3@686.620:29.0,17,0.030188,-1,20.2735,6.6547
S01_009_EEG_01.edf,,686.776,O2,FZ@686.772:25.5;O1@686.776:45.9;O2@686.776:52.3;P4@686.776:29.1;P8@686.776:37.4;T7@686.804:27.2;CZ@686.828:18.6,7,0.046507,1,13.3156,12.6964
S01_009_EEG_01.edf,,686.868,F8,C3@686.868:27.4;F8@686.868:30.2;T8@686.900:23.6,3,0.034031,1,19.2189,8.03
S01_009_EEG_01.edf,,686.916,FP1,F3@686.916:26.3;FP1@686.916:37.8;FP2@686.948:31.1;FZ@686.948:23.7;F4@686.952:25.2;P3@686.956:25.3,6,0.000159,-1,66.3993,6.9484
S01_009_EEG_01.edf,,687.032,O1,P4@687.016:21.3;O2@687.020:46.3;P8@687.020:26.6;F7@687.024:21.3;O1@687.032:58.7;P7@687.036:47.4;CZ@687.076:22.3,7,0.009544,1,22.3934,14.6362
S01_009_EEG_01.edf,,687.108,C3,C3@687.108:31.2;T7@687.128:22.9,2,0.042071,-1,11.7716,10.367
S01_009_EEG_01.edf,,687.216,O1,F3@687.208:21.2;PZ@687.208:19.8;FZ@687.212:29.2;O2@687.212:40.8;FP1@687.216:40.8;O1@687.216:63.8;P3@687.220:41.9;F4@687.244:26.8,8,0.052321,1,22.3934,12.2501
S01_009_EEG_01.edf,,687.304,P7,P7@687.304:36.1;FP2@687.340:32.5,2,0.006025,1,22.0117,7.053
